wellname	depth	rop	wob	rpm	torque	spp	flwpmps
TestWell #1	1615	0.09	9.30	123	7984	1873	586
TestWell #1	1620	0.11	9.50	123	8000	1873	585
TestWell #1	1625	0.10	9.30	123	7952	1877	586
TestWell #1	1630	0.10	10.00	125	7933	1842	582
TestWell #1	1635	0.08	9.10	162	7610	1724	561
TestWell #1	1640	0.08	9.30	151	7596	1736	560
TestWell #1	1645	0.09	9.10	128	7588	1795	560
TestWell #1	1650	0.08	9.80	118	7562	1761	561
TestWell #1	1655	0.08	9.70	118	7546	1759	560
TestWell #1	1660	0.10	9.40	122	7490	1736	554
TestWell #1	1665	0.09	9.40	127	7392	1796	568
TestWell #1	1670	0.07	9.20	160	7423	1799	572
TestWell #1	1675	0.08	9.70	145	7394	1811	571
TestWell #1	1680	0.06	9.90	120	7401	1829	572
TestWell #1	1685	0.08	9.50	121	7393	1827	574
TestWell #1	1690	0.20	9.30	119	7403	1815	569
TestWell #1	1695	0.09	9.90	118	7424	1807	564
TestWell #1	1700	0.08	9.40	140	7383	1805	569
TestWell #1	1705	0.07	9.80	142	7407	1812	568
TestWell #1	1710	0.08	9.10	142	7390	1822	569
TestWell #1	1715	0.07	9.70	142	7363	1833	569
TestWell #1	1720	0.11	9.10	143	7372	1823	570
TestWell #1	1725	0.20	9.10	142	7302	1843	570
TestWell #1	1730	0.07	9.30	147	7004	1921	587
TestWell #1	1735	0.06	9.20	146	6976	1943	585
TestWell #1	1740	0.07	9.20	146	6990	1948	585
TestWell #1	1745	0.17	9.70	146	6960	1955	585
TestWell #1	1750	0.11	9.00	146	6942	1939	586
TestWell #1	1755	0.20	9.20	145	6963	1944	583
TestWell #1	1760	0.07	9.20	146	6871	1933	587
TestWell #1	1765	0.07	9.20	146	6896	1963	586
TestWell #1	1770	0.10	9.10	147	6882	1959	586
TestWell #1	1775	0.11	9.70	147	6866	1955	587
TestWell #1	1780	0.09	9.50	147	6854	1954	587
TestWell #1	1785	0.20	9.00	149	6863	1928	580
TestWell #1	1790	0.20	9.00	140	6803	1799	561
TestWell #1	1795	0.10	9.90	140	6809	1814	562
TestWell #1	1800	0.08	10.00	142	6794	1946	568
TestWell #1	1805	0.08	9.20	144	6810	1942	576
TestWell #1	1810	0.07	9.70	145	6787	1956	582
TestWell #1	1815	0.10	9.30	146	6786	1952	582
TestWell #1	1820	0.20	9.90	151	6753	1923	573
TestWell #1	1825	0.07	9.30	141	6670	1937	565
TestWell #1	1830	0.08	9.20	143	6678	1916	573
TestWell #1	1835	0.08	9.50	144	6668	1955	574
TestWell #1	1840	0.08	9.50	144	6665	1949	574
TestWell #1	1845	0.20	9.30	148	6649	1932	576
TestWell #1	1850	0.20	10.00	157	6603	1956	579
TestWell #1	1855	0.09	9.90	154	6560	2013	587
TestWell #1	1860	0.10	9.90	153	6542	2020	585
TestWell #1	1865	0.12	9.90	148	6543	2018	586
TestWell #1	1870	0.10	9.90	147	6548	2024	587
TestWell #1	1875	0.20	9.90	147	6575	2028	587
